injected_plasmid,plasmid_base_code,plasmid_base_code_norm,notes
injected_plasmid,plasmid_base_code,plasmid_base_code,
ef1a-extended:2xCox8A:mScarlet3S2,MGCO-35,MGCO-35,
ef1a-extended:2xCox8A:Halo,MGCO-39,MGCO-39,
MGCO34,MGCO-34,MGCO-34,
Skittles-lite (ef1a:mTFP1 / ef1a:mChilada / ef1a:miRFP670-2),pDQM087,PDQM-87,
Skittles-lite (ef1a:mTFP1 / ef1a:mChilada / ef1a:miRFP670-2),pDQM089,PDQM-89,
Skittles-lite (ef1a:mTFP1 / ef1a:mChilada / ef1a:miRFP670-2),pDQM106,PDQM-106,
MGCO-55,MGCO-55,MGCO-55,
MGCO-56,MGCO-56,MGCO-56,
MGCO-49,MGCO-49,MGCO-49,
MGCO-52,MGCO-52,MGCO-52,
MGCO-53,MGCO-53,MGCO-53,
MGCO-51,MGCO-51,MGCO-51,
MGCO50,MGCO-50,MGCO-50,
MGCO54,MGCO-54,MGCO-54,
MGCO-28,MGCO-28,MGCO-28,
ef1a-extended:2xCox8A:mStayGold,MGCO-28,MGCO-28,
ef1a-extended:mStayGold:sec61b,MGCO-27,MGCO-27,
ef1a:mCardinal (iCodon),pDQM145,PDQM-145,
ef1a-extended:alphatubulin:mStayGold,MGCO-32,MGCO-32,
ef1a:linker:mKate2:linker-attB,pDQM085,PDQM-85,
ef1a-extended:LAMP1:mStayGold,MGCO-31,MGCO-31,
ef1a-extended:mScarlet3S2:sec61b,MGCO-36,MGCO-36,
ef1a:E2Crimson (iCodon),pDQM144,PDQM-144,
ef1a-extended:TNG46:mStayGold,MGCO-30,MGCO-30,
ef1a:mGold2s,pDQM140,PDQM-140,
ef1a:mGold2t,pDQM141,PDQM-141,
ef1a:mTFP1 and ef1a:mBeRFP,pDQM087,PDQM-87,
ef1a:mTFP1 and ef1a:mBeRFP,pDQM120,PDQM-120,
