treatment_name,plasmid_base_code,treatment_name_norm
ef1a-extended:2xCox8A:mScarlet3S2,MGCO-35,ef1a-extended:2xCox8A:mScarlet3S2
ef1a-extended:2xCox8A:Halo,MGCO-39,ef1a-extended:2xCox8A:Halo
MGCO34,MGCO-34,MGCO34
Skittles-lite (ef1a:mTFP1 / ef1a:mChilada / ef1a:miRFP670-2),"pDQM087, pDQM089, pDQM106",Skittles-lite (ef1a:mTFP1 / ef1a:mChilada / ef1a:miRFP670-2)
MGCO-55,MGCO-55,MGCO-55
MGCO-56,MGCO-56,MGCO-56
MGCO-49,MGCO-49,MGCO-49
MGCO-52,MGCO-52,MGCO-52
MGCO-53,MGCO-53,MGCO-53
MGCO-51,MGCO-51,MGCO-51
MGCO50,MGCO-50,MGCO50
MGCO54,MGCO-54,MGCO54
MGCO-28,MGCO-28,MGCO-28
ef1a-extended:2xCox8A:mStayGold,MGCO-28,ef1a-extended:2xCox8A:mStayGold
ef1a-extended:mStayGold:sec61b,MGCO-27,ef1a-extended:mStayGold:sec61b
ef1a:mCardinal (iCodon),pDQM145,ef1a:mCardinal (iCodon)
ef1a-extended:alphatubulin:mStayGold,MGCO-32,ef1a-extended:alphatubulin:mStayGold
ef1a:linker:mKate2:linker-attB,pDQM085,ef1a:linker:mKate2:linker-attB
ef1a-extended:LAMP1:mStayGold,MGCO-31,ef1a-extended:LAMP1:mStayGold
ef1a-extended:mScarlet3S2:sec61b,MGCO-36,ef1a-extended:mScarlet3S2:sec61b
ef1a:E2Crimson (iCodon),pDQM144,ef1a:E2Crimson (iCodon)
ef1a-extended:TNG46:mStayGold,MGCO-30,ef1a-extended:TNG46:mStayGold
ef1a:mGold2s,pDQM140,ef1a:mGold2s
ef1a:mGold2t,pDQM141,ef1a:mGold2t
ef1a:mTFP1 and ef1a:mBeRFP,"pDQM087, pDQM120",ef1a:mTFP1 and ef1a:mBeRFP
