plasmid_code,plasmid_name,fusion_name,fluor_name,tag_name
MGCO-01,ef1a-2Xcox8A-linker-mStayGold-SV40-attb-tol2,2Xcox8A+mStayGold,mStayGold,2Xcox8A
MGCO-02,ef1a-2Xcox8A-linker-mChilada-SV40-attb-tol2,2Xcox8A+mChilada,mChilada,2Xcox8A
MGCO-03,ef1a-2Xcox8A-linker-Halo-SV40-attb-tol2,2Xcox8A+Halo,Halo,2Xcox8A
MGCO-04,ef1a-linker-mStayGold-C4linker-sec61b-SV40-attb-tol2,mStayGold+sec61b,mStayGold,sec61b
MGCO-05,ef1a-linker-mChilada-C4linker-sec61b-SV40-attb-tol2,mChilada+sec61b,mChilada,sec61b
MGCO-06,ef1a-linker-Halo-sec61b-SV40-attb-tol2,Halo+sec61b,Halo,sec61b
MGCO-07,ef1a-linker-mStayGold-C4linker-GM130-SV40-attb-tol2,,mStayGold,
MGCO-08,ef1a-linker-mChilada-C4linker-GM130-SV40-attb-tol2,,mChilada,
MGCO-09,ef1a-linker-Halo-GM130-SV40-attb-tol2,,Halo,
MGCO-10,ef1a-TGN46-linker-mStayGold-SV40-attb-tol2,,mStayGold,
MGCO-11,ef1a-TGN46-linker-mChilada-SV40-attb-tol2,,mChilada,
MGCO-12,ef1a-TGN46-linker-Halo-SV40-attb-tol2,,Halo,
MGCO-13,ef1a-linker-mStayGold-C4linker-rab5a-SV40-attb-tol2,,mStayGold,
MGCO-14,ef1a-linker-Halo-rab5a-SV40-attb-tol2,,Halo,
MGCO-15,ef1a-LAMP1-linker-mStayGold-SV40-attb-tol2,LAMP1+mStayGold,mStayGold,LAMP1
MGCO-16,ef1a-LAMP1-linker-mChilada-SV40-attb-tol2,LAMP1+mChilada,mChilada,LAMP1
MGCO-17,ef1a-Arl13b-linker-mStayGold-SV40-attb-tol2,,mStayGold,
MGCO-18,ef1a-Arl13b-linker-Halo-SV40-attb-tol2,,Halo,
MGCO-19,ef1a-linker-mStayGold-C4linker-alphatubulin-SV40-attb-tol2,,mStayGold,
MGCO-20,ef1a-linker-Halo-linker-alphatubulin-SV40-attb-tol2,,Halo,
MGCO-21,ef1a-vimentin-linker-mStayGold-SV40-attb-tol2,,mStayGold,
MGCO-22,ef1a-vimentin-linker-Halo-linker-SV40-attb-tol2,,Halo,
MGCO-23,ef1a-lifeact-linker-mStayGold-SV40-attb-tol2,lifeact+mStayGold,mStayGold,lifeact
MGCO-24,ef1a-lifeact-linker-Halo-linker-SV40-attb-tol2,lifeact+Halo,Halo,lifeact
MGCO-25,ef1a-linker-mStayGold-C4linker-MYH10-SV40-attb-tol2,,mStayGold,
MGCO-25,ef1a-linker-mStayGold-C4linker-MYH10-SV40-attb-tol2,,mYH,
MGCO-26,ef1a-linker-mChilada-C4linker-MYH10-SV40-attb-tol2,,mChilada,
MGCO-26,ef1a-linker-mChilada-C4linker-MYH10-SV40-attb-tol2,,mYH,
MGCO-27,ef1a-extended-linker-mStayGold-C4linker-sec61b-SV40-attb-tol2,mStayGold+sec61b,mStayGold,sec61b
MGCO-28,ef1a-extended-2Xcox8A-linker-mStayGold-SV40-attb-tol2,2Xcox8A+mStayGold,mStayGold,2Xcox8A
MGCO-29,ef1a-extended-linker-mStayGold-C4linker-GM130-SV40-attb-tol2,,mStayGold,
MGCO-30,ef1a-extended-TGN46-linker-mStayGold-SV40-attb-tol2,,mStayGold,
MGCO-31,ef1a-extended-LAMP1-linker-mStayGold-SV40-attb-tol2,LAMP1+mStayGold,mStayGold,LAMP1
MGCO-32,ef1a-extended-linker-mStayGold-C4linker-alphatubulin-SV40-attb-tol2,,mStayGold,
MGCO-33,ef1a-extended-vimentin-linker-mStayGold-SV40-attb-tol2,,mStayGold,
MGCO-34,ef1a-extended-lifeact-linker-mStayGold-SV40-attb-tol2,lifeact+mStayGold,mStayGold,lifeact
MGCO-35,ef1a-extended-2Xcox8A-linker-mScarlet3S2-SV40-attb-tol2,2Xcox8A+mScarlet3S2,mScarlet3S2,2Xcox8A
MGCO-36,ef1a-extended-linker-mScarlet3S2-sec61b-SV40-attb-tol2,mScarlet3S2+sec61b,mScarlet3S2,sec61b
MGCO-37,ef1a-extended-LAMP1-linker-mScarlet3S2-SV40-attb-tol2,LAMP1+mScarlet3S2,mScarlet3S2,LAMP1
MGCO-38,ef1a-extended-linker-mStayGold-C4linker-MyosinII-SV40-attb-tol2,,mStayGold,
MGCO-39,ef1a-extended-2Xcox8A-linker-Halo-SV40-attb-tol2,2Xcox8A+Halo,Halo,2Xcox8A
MGCO-40,ef1a-extended-linker-Halo-sec61b-SV40-attb-tol2,Halo+sec61b,Halo,sec61b
MGCO-41,ef1a-extended-linker-mScarlet3S2-GM130-SV40-attb-tol2,,mScarlet,
MGCO-41,ef1a-extended-linker-mScarlet3S2-GM130-SV40-attb-tol2,,mScarlet3,
MGCO-41,ef1a-extended-linker-mScarlet3S2-GM130-SV40-attb-tol2,,mScarlet3S2,
MGCO-42,ef1a-extended-linker-Halo-GM130-SV40-attb-tol2,,Halo,
MGCO-43,ef1a-extended-TGN46-linker-mScarlet3S2-SV40-attb-tol2,,mScarlet,
MGCO-43,ef1a-extended-TGN46-linker-mScarlet3S2-SV40-attb-tol2,,mScarlet3,
MGCO-43,ef1a-extended-TGN46-linker-mScarlet3S2-SV40-attb-tol2,,mScarlet3S2,
MGCO-44,ef1a-extended-TGN46-linker-Halo-SV40-attb-tol2,,Halo,
MGCO-45,ef1a-extended-linker-Halo-linker-alphatubulin-SV40-attb-tol2,,Halo,
MGCO-46,ef1a-extended-vimentin-linker-Halo-linker-SV40-attb-tol2,,Halo,
MGCO-47,ef1a-extended-lifeact-linker-Halo-linker-SV40-attb-tol2,lifeact+Halo,Halo,lifeact
MGCO-48,ef1a-extended-linker-mScarlet3S2-linker-MyosinII-SV40-attb-tol2,,mScarlet,
MGCO-48,ef1a-extended-linker-mScarlet3S2-linker-MyosinII-SV40-attb-tol2,,mScarlet3,
MGCO-48,ef1a-extended-linker-mScarlet3S2-linker-MyosinII-SV40-attb-tol2,,mScarlet3S2,
pDQM001,CMV-SP6-mSG(J) IDT opt,,mSG,
pDQM002,CMV-SP6-mSG(J) IDT opt,,mSG,
pDQM005,ef1a-tdmSG(J),,mSG,
pDQM005,ef1a-tdmSG(J),,tdmSG,
pDQM006,ef1a-tdmSG-syntrons(J),,mSG,
pDQM006,ef1a-tdmSG-syntrons(J),,tdmSG,
pDQM007,ef1a-tdmSG-syntrons(J),,mSG,
pDQM007,ef1a-tdmSG-syntrons(J),,tdmSG,
pDQM008,ef1a-tdmSG-syntrons(J),,mSG,
pDQM008,ef1a-tdmSG-syntrons(J),,tdmSG,
pDQM009,skittles2.0-4FP,,,
pDQM010,skittles2.0-4FP,,,
pDQM011,pCM268_ccdB-Electra2,,Electra,
pDQM011,pCM268_ccdB-Electra2,,Electra2,
pDQM012,pCM268_ccdB-Electra2,,Electra,
pDQM012,pCM268_ccdB-Electra2,,Electra2,
pDQM013,pCM268_ccdB-mKOK,,mKOK,
pDQM014,pCM268_ccdB-mKate2,,mKate2,
pDQM015,pCM268_ccdB-mKate2,,mKate2,
pDQM016,pCM268_ccdB-mTFP1,,mTFP1,
pDQM017,pCM268_ccdB-mTFP1,,mTFP1,
pDQM018,pCM268_ccdB-miRFP670-2,,miRFP670,
pDQM019,pCM268_ccdB-miRFP670-2,,miRFP670,
pDQM020,pCM268_ccdB-mLychee,,mLychee,
pDQM021,pCM268_ccdB-mLychee,,mLychee,
pDQM022,pCM268_ccdB-mChilada,,mChilada,
pDQM023,pCM268_ccdB-mChilada,,mChilada,
pDQM024,skittles2.0-5FP-mutation,,,
